LINEUPS,NETRTG,,,
J. Collins - O. Okongwu,-1.3,,,
C. Wood - J. Green,2.4,,,
K. Olynyk - T. Horton-Tucker,1.6,,,
N. Batum - I. Zubac,4.3,,,
B. Beal - C. Kispert,1.1,,,
D. Brooks - X. Tillman,3.2,,,
T. Jones - J. Konchar,0.5,,,
A. Wiggins - K. Looney,13.3,,,
N. Batum - P. George,7.6,,,
T. Lyles - D. Fox,6.8,,,
C. Osman - D. Mitchell,8.2,,,
D. Schroder - T. Bryant,-3.8,,,
P. Beverley - D. Schroder,-4.3,,,
P. George - T. Mann,6.9,,,
X. Tillman - D. Bane,3.4,,,
T. Hardaway Jr. - D. Finney-Smith,-0.1,,,
F. VanVleet - C. Boucher,3.2,,,
J. Holiday - J. Carter,10.7,,,
M. Conley - K. Olynyk,-2.1,,,
J. Smith - B. Mathurin,-6.2,,,
J. Williams - J. Williams,-5.3,,,
A. Wiggins - J. Poole,-0.4,,,
K. Thompson - J. Kuminga,-5.1,,,
K. Williams - J. Giddey,2.3,,,
T. Haliburton - J. Smith,-6.2,,,
N. Little - S. Sharpe,-10.4,,,
K. Irving - J. Harris,4.7,,,
D. Booker - J. Okogie,4.1,,,
K. Bates-Diop - T. Jones,-7.7,,,
J. Poeltl - P. Siakam,8.5,,,
A. Rivers - A. Edwards,-5.4,,,
J. Nowell - A. Edwards,7.8,,,
M. Brogdon - S. Hauser,7.5,,,
Z. Collins - T. Jones,-11.1,,,
J. Clarkson - C. Sexton,1.5,,,
K. Bates-Diop - K. Johnson,-13.7,,,
K. Porter Jr. - T. Eason,-3.5,,,
M. Monk - K. Murray,2.1,,,
J. Holiday - J. Ingles,4.4,,,
D. Wright - K. Kuzma,2.1,,,
J. Grant - S. Sharpe,-9,,,
S. Dinwiddie - D. Finney-Smith,1.5,,,
T. Murphy III - J. Alvarado,-0.6,,,
M. Bridges - C. Johnson,5.9,,,
M. Morris - D. Gafford,-0.5,,,
T. Young - A. Griffin,4.3,,,
L. Dort - J. Williams,-5.2,,,
C. Martin - G. Vincent,-1.6,,,
V. Oladipo - M. Strus,-7.3,,,
G. Antetokounmpo - B. Portis,-2.2,,,
M. Wagner - B. Bol,-2.5,,,
K. Hayes - S. Bey,-2.5,,,
J. Okogie - D. Ayton,7.6,,,
O. Okongwu - J. Johnson,5.3,,,
D. Finney-Smith - M. Bridges,-3.1,,,
G. Hayward - K. Oubre Jr.,-4.7,,,
T. McConnell - O. Brissett,1.1,,,
T. Prince - A. Edwards,2.8,,,
D. White - S. Hauser,12.8,,,
F. VanVleet - P. Achiuwa,1,,,
L. James - L. Walker IV,-5,,,
C. McCollum - Z. Williamson,5.5,,,
J. Konchar - S. Aldama,7.2,,,
M. Bridges - N. Claxton,3.7,,,
R. Westbrook - T. Brown Jr.,-1.3,,,
O. Anunoby - C. Boucher,2.2,,,
S. Gilgeous-Alexander - A. Wiggins,6.3,,,
J. Embiid - G. Niang,8.5,,,
V. Oladipo - B. Adebayo,-1.3,,,
J. Giddey - A. Wiggins,-4.6,,,
K. Towns - J. McDaniels,2.7,,,
I. Livers - J. Ivey,-9.2,,,
M. Wagner - C. Anthony,3.3,,,
N. Marshall - J. Alvarado,3.4,,,
S. Gilgeous-Alexander - K. Williams,7.5,,,
A. Caruso - P. Williams,0.6,,,
M. Conley - R. Gobert,3.2,,,
D. Brooks - J. Konchar,12.8,,,
D. Wright - D. Gafford,-2.5,,,
T. Horton-Tucker - O. Agbaji,-1.9,,,
D. Booker - C. Payne,4.5,,,
D. Mitchell - L. Stevens,-1.9,,,
O. Agbaji - W. Kessler,2.7,,,
G. Hayward - M. Plumlee,-6.4,,,
A. Drummond - C. White,2.2,,,
K. Martin Jr. - U. Garuba,-15.8,,,
K. Olynyk - O. Agbaji,0.7,,,
B. Bogdanovic - A. Griffin,5.8,,,
E. Gordon - K. Martin Jr.,-2.4,,,
I. Hartenstein - O. Toppin,8.6,,,
C. Osman - J. Allen,9,,,
D. Wright - C. Kispert,5.1,,,
B. Beal - D. Gafford,-3.1,,,
T. Ross - F. Wagner,2.1,,,
K. Durant - B. Simmons,9.6,,,
L. Walker IV - A. Reaves,-1.6,,,
L. Nance Jr. - J. Alvarado,10.3,,,
M. Conley - M. Beasley,-0.9,,,
M. Smart - M. Brogdon,3.1,,,
R. Westbrook - A. Davis,1.4,,,
J. Green - J. Poole,-5.3,,,
K. Johnson - D. Vassell,-12.5,,,
S. Dinwiddie - C. Johnson,6.1,,,
G. Hayward - L. Ball,-1.9,,,
A. Wiggins - J. Williams,2.4,,,
D. Nix - T. Eason,-8.4,,,
J. Green - C. Braun,-3.5,,,
K. Williams - J. Williams,3,,,
P. Beverley - Z. LaVine,1.6,,,
D. Gafford - D. Avdija,-4.5,,,
S. Curry - N. Claxton,-2.3,,,
R. Barrett - O. Toppin,-1,,,
J. Johnson - A. Griffin,-1.1,,,
K. Bates-Diop - M. Branham,-8.3,,,
I. Joe - J. Giddey,2.8,,,
A. Simons - S. Sharpe,-8.5,,,
K. Durant - J. Harris,6.4,,,
T. Rozier - D. Smith Jr.,-2.6,,,
